CLASE DE ACCIDENTE;GRAVEDAD;VIAS;CORREGIMIENTO;DIA  SEMANA;FECHA DE OCURRECIA;HORA OCURRENCIA
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;VIERNES;1/01/2021;1:40:00 a. m.
CHOQUE;MUERTOS;CALI-CANDELARIA;JUANCHITO;VIERNES;1/01/2021;3:00:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;DOMINGO;3/01/2021;5:08:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;DOMINGO;3/01/2021;12:45:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;EL CARMELO;DOMINGO;3/01/2021;7:00:00 a. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;EL LAURO;LUNES;4/01/2021;11:20:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;LA REGINA;MARTES;5/01/2021;8:10:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;CANDELARIA;MIERCOLES;6/01/2021;2:50:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;JUEVES;7/01/2021;3:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;EL CARMELO;JUEVES;7/01/2021;3:50:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;LA REGINA;JUEVES;7/01/2021;7:00:00 p. m.
OTRO;HERIDOS;PALMIRA-VILLA RICA;EL CABUYAL;VIERNES;8/01/2021;3:00:00 p. m.
VOLCAMIENTO;DAÑOS;PALMIRA-VILLA RICA;CANDELARIA;LUNES;11/01/2021;12:30:00 p. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;EL LAURO;MIERCOLES;13/01/2021;5:30:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;JUEVES;14/01/2021;12:50:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;VIERNES;15/01/2021;1:45:00 a. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;SABADO;16/01/2021;1:30:00 p. m.
